CATEGORÍA,CANCIÓN,ARTISTAS,HOMBRE / MUJER / DUO / GRUPO,AÑO DE LANZAMIENTO,OBSERVACIONES
"TENDENCIAS ",MIENTRAS ME CURO EL CORA ,KAROL G ,,0,
"TENDENCIAS ",ME DEDIQUE A PERDERTE,ALEJANDRO FERNANDEZ/AMAIA MONTERO,,0,
"TENDENCIAS ",LA TIERRA DEL OLVIDO (V. 2015),"Carlos Vives con Coral Group, Herencia de Timbiquí, Fanny Lu, Cholo Valderrama, Maluma, Andrea Echeverri, Fonseca",,0,
"TENDENCIAS ",LA MITAD (FT NODAL),CAMILO/NODAL,,0,
"TENDENCIAS ",LA LUNA ,DJ BUXXI,,0,
"TENDENCIAS ",LA BICICLETA (Vives y Shakira),CARLOS VIVES/SHAKIRA,,0,
"TENDENCIAS ",KAI,GREEICY RENDON ,,0,
"TENDENCIAS ",INVENCIBLE,CHOBQUIBTOWN,,0,
"TENDENCIAS ",HOY TENGO GANAS DE TI (A.Fernandez y C.Aguiler,ALEJANDRO FERNANDEZ/CRISTINA AGUILERA,,0,
"TENDENCIAS ",HASTA QUE AMANESCA ,CHOBQUIBTOWN,,0,
"TENDENCIAS ",ESPEJO ,GREEICY,,0,
"TENDENCIAS ",El Amor,Tito,,0,
"TENDENCIAS ",Dias Nublados,Marbelle,,0,
"TENDENCIAS ",Despues De Ti,Pipe Pelaez,,0,
"TENDENCIAS ",DE DONDE VENGO YO,CHOBQUIBTOWN,,0,
"TENDENCIAS ",DE APOCO ,GREEICY RENDON ,,0,
"TENDENCIAS ","Cuanto Vale Cuanto Cuesta ","Pasabordo ",,0,
"TENDENCIAS ",CUANDO TE VEO,CHOBQUIBTOWN,,0,
"TENDENCIAS ",CONTIGO ,KAROL G FT TIESTO,,0,
"TENDENCIAS ",Contigo voy a muerte,"Camilo, Karol G",,0,
"TENDENCIAS ","Contigo ","Karol G, Tiesto",,0,
"TENDENCIAS ",COMO TU NO HAY DOS ,DJ BUXXI,,0,
"TENDENCIAS ",BAJITO,JEAN CARLOS CANELA/KYMANI MARLEY,,0,
"TENDENCIAS ",Bailando,"El Chombo, Jimmy Bad Boy",,0,
"TENDENCIAS ",ATT: AMOR (FT MIKE BAHIA),GREEICY/MIKE BAHÍA,,0,
