CATEGORÍA,CANCIÓN,ARTISTAS,HOMBRE / MUJER / DUO / GRUPO,AÑO DE LANZAMIENTO,OBSERVACIONES
ROCK DOWN ,LABIOS ROTOS ,ZOE,,,
ROCK DOWN ,YA NO QUIERO VOLVERME TAN LOCO ,CHARLY GARCIA ,,,
ROCK DOWN ,SANTA LUCIA ,MIGUEL RIOS ,,,
ROCK DOWN ,Y DALE ALEGRIA A MI CORAZÓN (FITO),FITO PAEZ,,,
ROCK DOWN ,VIVIR SIN AIRE,MANA,,,
ROCK DOWN ,VESTIDO DE CRISTAL ,KRAKEN,,,
ROCK DOWN ,VENGO DEL FUTURO,KURT,,,
ROCK DOWN ,UNA FLOR EN EL DESIERTO,EKHYMOSIS/JUANES,,,
ROCK DOWN ,TUMBAS DE GLORIA,FITO PAEZ,,,
ROCK DOWN ,Tu Carcel,Enanitos Verdes,,,
ROCK DOWN ,TU CARCEL (Enanitos Verdes),ENANITOS VERDES,,,
ROCK DOWN ,TRATAME SUAVEMENTE,SODA STEREO,,,
ROCK DOWN ,TODO LO QUE PUEDO DECIR,DAVID SUMMERS,,,
ROCK DOWN ,TEMBLANDO,HOMBRES G/DAVID SUMMERS,,,
ROCK DOWN ,TE SOLTE LA RIENDA,MANA,,,
