CATEGORÍA,CANCIÓN,ARTISTAS,HOMBRE / MUJER / DUO / GRUPO,AÑO DE LANZAMIENTO,OBSERVACIONES
ROCK DOWN ,LABIOS ROTOS ,ZOE,,1993,
ROCK DOWN ,YA NO QUIERO VOLVERME TAN LOCO ,CHARLY GARCIA ,,,
ROCK DOWN ,MUJER AMANTE ,RATA BLANCA ,,1993,
ROCK DOWN ,SOÑE ,ZOE,,2011,
ROCK DOWN ,SANTA LUCIA ,MIGUEL RIOS ,,1993,
ROCK DOWN ,zoe ,,,,
ROCK DOWN ,Y DALE ALEGRIA A MI CORAZÓN (FITO),FITO PAEZ,,,
ROCK DOWN ,VIVIR SIN AIRE,MANA,,1993,
ROCK DOWN ,VIVIMOS SIEMPRE JUNTOS,NACHO CANO,,2006,
ROCK DOWN ,VIVIR AL ESTE DEL EDEN,LA UNION,,1988,
ROCK DOWN ,VESTIDO DE CRISTAL ,KRAKEN,,1993,
ROCK DOWN ,VENGO DEL FUTURO,KURT,,,
ROCK DOWN ,UNA FLOR EN EL DESIERTO,EKHYMOSIS/JUANES,,1993,
ROCK DOWN ,UNA CANCION,LOS DE ADENTRO,,1993,
ROCK DOWN ,TUMBAS DE GLORIA,FITO PAEZ,,,
ROCK DOWN ,Tu Carcel,Enanitos Verdes,,1997,
ROCK DOWN ,TU CARCEL (Enanitos Verdes),ENANITOS VERDES,,,
ROCK DOWN ,TRATAME SUAVEMENTE,SODA STEREO,,1993,
ROCK DOWN ,TODO LO QUE PUEDO DECIR,DAVID SUMMERS,,1993,
ROCK DOWN ,TEMBLANDO,HOMBRES G/DAVID SUMMERS,,1993,
ROCK DOWN ,TE SOLTE LA RIENDA,MANA,,1993,
ROCK DOWN ,TE QUIERO,HOMBRES G,,2024,
ROCK DOWN ,TE NECESITO,HOMBRES G,,1993,
ROCK DOWN ,TE PARA 3,SODA STEREO,,1993,
ROCK DOWN ,TE LO PIDO POR FAVOR ,JAGUARES ,,1993,
ROCK DOWN ,TE LLORE UN RIO,MANA,,2022,
ROCK DOWN ,TAL VEZ,LOS DE ADENTRO,,1993,
ROCK DOWN ,SORTILEGIO,ATERCIOPELADOS,,1993,
ROCK DOWN ,SOÑE ,ZOE,,2011,
ROCK DOWN ,SOLO,EKHYMOSIS,,1993,
ROCK DOWN ,SIGAMOS CAMINANDO ,DON TETO ,,,
ROCK DOWN ,SI NO TE TENGO A TI,HOMBRES G,,1993,
ROCK DOWN ,SEÑALES,JUAN GABRIEL TURBAY,,,
ROCK DOWN ,SACAME DE AQUÍ ,ENRIQUE BUNBURY,,,
ROCK DOWN ,ROMPECABEZAS ,ATERCIOPELADOS,,1993,
ROCK DOWN ,RASGUÑA LAS PIEDRAS ,SUI GENERIS ,,1993,
ROCK DOWN ,RAYANDO EL SOL,MANA,,2019,
ROCK DOWN ,PUENTE,GUSTAVO CERATTI,,,
ROCK DOWN ,PENELOPE,ROBI DRACO ROSA,,1993,
ROCK DOWN ,Once Y Seis,Fito Paez,,,
ROCK DOWN ,NUBES NEGRAS,LOS DE ADENTRO,,1993,
ROCK DOWN ,NO TE APARTES DE MI ,VICENTICO ,,1993,
ROCK DOWN ,NO MAS,LOS DE ADENTRO,,1993,
ROCK DOWN ,NO HA PARADO DE LLOVER,MANA,,2019,
ROCK DOWN ,NO DEJES QUE,CAIFANES,,1993,
ROCK DOWN ,NADA PERSONAL ,JUAN PABLO VEGA ,,2013,
ROCK DOWN ,MUJER AMANTE,,,,
ROCK DOWN ,MI VERDAD ,MANA FT SHAKIRA ,,1993,
ROCK DOWN ,MI PRIMER DIA SIN TI,ENANITOS VERDES,,1993,
ROCK DOWN ,MENTIRA,LA LEY,,1993,
ROCK DOWN ,MAS Y MAS,DRACO ROSA,,2013,
ROCK DOWN ,MAS ALLA,LA LEY,,1993,
ROCK DOWN ,MARIPOSA TRAICIONERA,MANA,,2021,
ROCK DOWN ,MARIA,CAFE TACUBA,,,
ROCK DOWN ,MANDA UNA SEÑAL,MANA,,1993,
ROCK DOWN ,MALIGNO,ATERCIOPELADOS,,1993,
ROCK DOWN ,MAGO DE OZ ,,,,
ROCK DOWN ,LUCHA DE GIGANTES,NACHA POP,,1993,
ROCK DOWN ,LOS CAMINOS DE LA VIDA,VICENTICO,,1993,
ROCK DOWN ,LO NOTO,HOMBRES G/DAVID SUMMERS,,1993,
ROCK DOWN ,LAMENTO BOLIVIANO,ENANITOS VERDES,,1993,
ROCK DOWN ,LABIOS COMPARTIDOS,MANA,,2006,
ROCK DOWN ,LADY BLUE,ENRIQUE BUNBURY,,,
ROCK DOWN ,LABIOS ROTOS ,ZOE ,,1993,
ROCK DOWN ,LA CHISPA ADECUADA,HEROES DEL SILENCIO,,1996,
ROCK DOWN ,INTENTA AMAR,LA LEY,,1993,
ROCK DOWN ,HUELE A TRISTEZA,MANA,,1993,
ROCK DOWN ,HECHICERA ,MANA ,,1993,
ROCK DOWN ,Hechicera ,Mana ,,1993,
ROCK DOWN ,HASTA QUE TE CONOCI,MANA,,2012,
ROCK DOWN ,FUERA DE MI,LA LEY,,1993,
ROCK DOWN ,Frente a Frente,Enrique Bunbury,,,
ROCK DOWN ,FLACA,ANDRES CALAMARO,,2021,
ROCK DOWN ,fiesta pagana ,Mago De Oz,,2000,
ROCK DOWN ,ETERNA SOLEDAD,ENANITOS VERDES,,1993,
ROCK DOWN ,ESA NOCHE,CAFE TACUBA,,,
ROCK DOWN ,ERES,CAFE TACUBA,,1993,
ROCK DOWN ,En La Ciudad De La Furia,"Soda Stereo, Aterciopelados",,1993,
ROCK DOWN ,En El Muelle De San Blás,Mana,,1993,
ROCK DOWN ,El Lado Oscuro,Jarabe De Palo,,1993,
ROCK DOWN ,El Duelo Unplugged,La Ley,,,
ROCK DOWN ,El Beso Y El Perfume,David Summers,,1993,
