CATEGORÍA,CANCIÓN,ARTISTAS,HOMBRE / MUJER / DUO / GRUPO,AÑO DE LANZAMIENTO,OBSERVACIONES
ROCK DOWN ,LABIOS ROTOS ,ZOE,,,
ROCK DOWN ,YA NO QUIERO VOLVERME TAN LOCO ,CHARLY GARCIA ,,,
ROCK DOWN ,MUJER AMANTE ,RATA BLANCA ,,2000,
ROCK DOWN ,SOÑE ,ZOE,,2011,
ROCK DOWN ,SANTA LUCIA ,MIGUEL RIOS ,,,
ROCK DOWN ,zoe ,,,,
ROCK DOWN ,Y DALE ALEGRIA A MI CORAZÓN (FITO),FITO PAEZ,,,
ROCK DOWN ,VIVIR SIN AIRE,MANA,,,
ROCK DOWN ,VIVIMOS SIEMPRE JUNTOS,NACHO CANO,,2006,
ROCK DOWN ,VIVIR AL ESTE DEL EDEN,LA UNION,,1988,
ROCK DOWN ,VESTIDO DE CRISTAL ,KRAKEN,,,
ROCK DOWN ,VENGO DEL FUTURO,KURT,,,
ROCK DOWN ,UNA FLOR EN EL DESIERTO,EKHYMOSIS/JUANES,,,
ROCK DOWN ,UNA CANCION,LOS DE ADENTRO,,2016,
ROCK DOWN ,TUMBAS DE GLORIA,FITO PAEZ,,,
ROCK DOWN ,Tu Carcel,Enanitos Verdes,,,
ROCK DOWN ,TU CARCEL (Enanitos Verdes),ENANITOS VERDES,,,
ROCK DOWN ,TRATAME SUAVEMENTE,SODA STEREO,,,
ROCK DOWN ,TODO LO QUE PUEDO DECIR,DAVID SUMMERS,,,
ROCK DOWN ,TEMBLANDO,HOMBRES G/DAVID SUMMERS,,,
ROCK DOWN ,TE SOLTE LA RIENDA,MANA,,,
ROCK DOWN ,TE QUIERO,HOMBRES G,,2024,
ROCK DOWN ,TE NECESITO,HOMBRES G,,,
ROCK DOWN ,TE PARA 3,SODA STEREO,,,
ROCK DOWN ,TE LO PIDO POR FAVOR ,JAGUARES ,,,
ROCK DOWN ,TE LLORE UN RIO,MANA,,2022,
ROCK DOWN ,TAL VEZ,LOS DE ADENTRO,,,
ROCK DOWN ,SORTILEGIO,ATERCIOPELADOS,,,
ROCK DOWN ,SOÑE ,ZOE,,2011,
ROCK DOWN ,SOLO,EKHYMOSIS,,,
ROCK DOWN ,SIGAMOS CAMINANDO ,DON TETO ,,,
ROCK DOWN ,SI NO TE TENGO A TI,HOMBRES G,,,
ROCK DOWN ,SEÑALES,JUAN GABRIEL TURBAY,,,
ROCK DOWN ,SACAME DE AQUÍ ,ENRIQUE BUNBURY,,,
ROCK DOWN ,ROMPECABEZAS ,ATERCIOPELADOS,,,
ROCK DOWN ,RASGUÑA LAS PIEDRAS ,SUI GENERIS ,,,
ROCK DOWN ,RAYANDO EL SOL,MANA,,2019,
ROCK DOWN ,PUENTE,GUSTAVO CERATTI,,,
ROCK DOWN ,PENELOPE,ROBI DRACO ROSA,,,
ROCK DOWN ,Once Y Seis,Fito Paez,,,
ROCK DOWN ,NUBES NEGRAS,LOS DE ADENTRO,,2017,
ROCK DOWN ,NO TE APARTES DE MI ,VICENTICO ,,,
ROCK DOWN ,NO MAS,LOS DE ADENTRO,,,
ROCK DOWN ,NO HA PARADO DE LLOVER,MANA,,2019,
ROCK DOWN ,NO DEJES QUE,CAIFANES,,,
ROCK DOWN ,NADA PERSONAL ,JUAN PABLO VEGA ,,2013,
ROCK DOWN ,MUJER AMANTE,,,,
ROCK DOWN ,MI VERDAD ,MANA FT SHAKIRA ,,,
ROCK DOWN ,MI PRIMER DIA SIN TI,ENANITOS VERDES,,,
ROCK DOWN ,MENTIRA,LA LEY,,,
ROCK DOWN ,MAS Y MAS,DRACO ROSA,,2013,
ROCK DOWN ,MAS ALLA,LA LEY,,,
ROCK DOWN ,MARIPOSA TRAICIONERA,MANA,,2021,
ROCK DOWN ,MARIA,CAFE TACUBA,,,
ROCK DOWN ,MANDA UNA SEÑAL,MANA,,,
ROCK DOWN ,MALIGNO,ATERCIOPELADOS,,,
ROCK DOWN ,MAGO DE OZ ,,,,
ROCK DOWN ,LUCHA DE GIGANTES,NACHA POP,,,
ROCK DOWN ,LOS CAMINOS DE LA VIDA,VICENTICO,,,
ROCK DOWN ,LO NOTO,HOMBRES G/DAVID SUMMERS,,,
ROCK DOWN ,LAMENTO BOLIVIANO,ENANITOS VERDES,,,
ROCK DOWN ,LABIOS COMPARTIDOS,MANA,,2006,
ROCK DOWN ,LADY BLUE,ENRIQUE BUNBURY,,,
ROCK DOWN ,LABIOS ROTOS ,ZOE ,,,
ROCK DOWN ,LA CHISPA ADECUADA,HEROES DEL SILENCIO,,1996,
ROCK DOWN ,INTENTA AMAR,LA LEY,,,
ROCK DOWN ,HUELE A TRISTEZA,MANA,,,
ROCK DOWN ,HECHICERA ,MANA ,,,
ROCK DOWN ,Hechicera ,Mana ,,,
ROCK DOWN ,HASTA QUE TE CONOCI,MANA,,2012,
ROCK DOWN ,FUERA DE MI,LA LEY,,,
ROCK DOWN ,Frente a Frente,Enrique Bunbury,,,
ROCK DOWN ,FLACA,ANDRES CALAMARO,,2021,
ROCK DOWN ,fiesta pagana ,Mago De Oz,,2000,
ROCK DOWN ,ETERNA SOLEDAD,ENANITOS VERDES,,,
ROCK DOWN ,ESA NOCHE,CAFE TACUBA,,,
ROCK DOWN ,ERES,CAFE TACUBA,,,
ROCK DOWN ,En La Ciudad De La Furia,"Soda Stereo, Aterciopelados",,,
ROCK DOWN ,En El Muelle De San Blás,Mana,,,
ROCK DOWN ,El Lado Oscuro,Jarabe De Palo,,,
ROCK DOWN ,El Duelo Unplugged,La Ley,,,
ROCK DOWN ,El Beso Y El Perfume,David Summers,,,
ROCK DOWN ,El Amor Es Mas Fuerte,Ulises Butron,,,
ROCK DOWN ,Dos En La Ciudad,Fito Paez,,,
ROCK DOWN ,Dime,Los De Adentro,,2017,
ROCK DOWN ,Diciembre,David Summers,,,
ROCK DOWN ,DESVANECER,POLIGAMIA/ANDRES CEPEDA,,,
ROCK DOWN ,Depende,Jarabe De Palo,,2000,
ROCK DOWN ,Dejate Caer ,Cafe Tacuba,,,
ROCK DOWN ,DEJATE CAER ,LOS TRES,,,
ROCK DOWN ,CRUZANDO PUERTAS,DRACO ROSA,,,
ROCK DOWN ,CRIMEN,GUSTAVO CERATTI/SODA STEREO,,,
ROCK DOWN ,CRIMENES PERFECTOS,ANDRES CALAMARO,,,
ROCK DOWN ,Corazon delator,Soda Stereo,,2000,
ROCK DOWN ,COMO YO NADIE TE HA AMADO,BON JOVI,,,
ROCK DOWN ,COMO ME ACUERDO,DRACO ROSA,,2004,
ROCK DOWN ,COMO DUELES EN LOS LABIOS,MANA,,,
ROCK DOWN ,CHAU ,NO TE VA A GUSTAR,,,
ROCK DOWN ,CADAVER EXQUISITO,FITO PAEZ,,,
ROCK DOWN ,CACHITO,MANA,,,
ROCK DOWN ,BENDITA TU LUZ,MANA/JUAN LUIS GUERRA,,,
ROCK DOWN ,BAJO LA LUZ DE LA LUNA,LOS REBELDES,,,
ROCK DOWN ,AYER ME DIJO UN AVE ,CAIFANES ,,,
ROCK DOWN ,Aunque No Sea Conmigo ,Enrique Bunbury,,,
ROCK DOWN ,AMOR CLANDESTINO,MANA,,2023,
ROCK DOWN ,AMIGOS ,ENANITOS VERDES,,,
ROCK DOWN ,ALGO CONTIGO,VICENTICO,,,
ROCK DOWN ,A UN MINUTO DE TI,MIKEL ERENTXUN,,,
ROCK DOWN ,A Las Nueve ,No Te Va A Gustar ,,,
ROCK DOWN ,11 Y 6,FITO PAEZ,,,
TENDENCIAS ,SABRAS,HERENCIA DE TIMBIQUI,,2019,
TENDENCIAS ,OHNANA,KAPO,,2024,
TENDENCIAS ,MI NIÑA BONITA,CHINO Y NACHO ,,,
TENDENCIAS ,ALOH ALOH,PEDRO KAPO,,,
TENDENCIAS ,ME VOY ENAMORANDO ,CHINO Y NACHO ,,,
TENDENCIAS ,CORAZON ,CALI Y EL DANDEE,,2018,
TENDENCIAS ,TE INVITO ,HERENCIA DE TIMBIQUI,,2016,
TENDENCIAS ,SOLCITO ,MIGUEL BUENO FT JUAN DUQUE ,,,
TENDENCIAS ,POR EL CONTRARIO,BICKY G FT LEONARDO AGUILAR Y ANGELA AGUILAR ,,,
TENDENCIAS ,VITAMINA ,DANNY OCEAN ,,,
TENDENCIAS ,EL AMOR DE MI HERIDA ,CARIN LEON ,,,
TENDENCIAS ,ALMA ,ZAIDER FT PEDRO CAPO,,,
TENDENCIAS ,VOLVER ,PISO 21 FT MARC ANTONHY ,,,
TENDENCIAS ,YO TE ESPERARE ,CALI & DANDDY,,2012,
TENDENCIAS ,YO SE QUE ES MENTIRA,AMAURY GUTIERREZ,,2010,
TENDENCIAS ,Ya No Es Igual,Two Flow,,,
TENDENCIAS ,Ya No Me Duele Mas,Silvestre Dangond,,2016,
TENDENCIAS ,YA NO SOMOS NI SEREMOS,CHRISTIAN NODAL ,,2022,
TENDENCIAS ,Waka Waka,Shakira,,2010,
TENDENCIAS ,Vuelve,Chobquibtown,,,
TENDENCIAS ,VUELVE,LATIN DREAMS,,2013,
